Reference,Value,Quantity
C1,220uF,1
C2,100nF,1
C3,10uF,1
C4,10uF,1
D1,SS14,1
D2,LED,1
D3,SS14,1
J1,PS1_Connector1,1
J2,JP1_Autofire,1
J3,JP3_Palanca_Direccional,1
J4,JP4_Botones_Frontales,1
J5,JP5_Botones_laterales,1
J6,JP6_Autofire,1
R1,10k,1
R2,10k,1
R3,10k,1
R4,10k,1
R5,10k,1
R6,4.7k,1
R7,4.7k,1
R8,220R,1
Select1,SW_Omron_B3FS,1
Start1,SW_Omron_B3FS,1
SW1,SW_SPDT,1
SW2,SW_SPDT,1
SW3,SW_SPDT,1
SW4,SW_SPDT,1
SW5,SW_SPDT,1
SW6,SW_SPDT,1
SW7,SW_SPDT,1
SW8,SW_SPDT,1
SW9,SW_SPDT,1
SW10,SW_SPDT,1
U1,ESP32_30pin,1
U2,LD1117S33TR_SOT223,1
